station,date,min_AMB_TEMP,min_CH4,min_CO,min_NMHC,min_NO,min_NO2,min_NOx,min_O3,min_PM10,min_PM2.5,min_RAINFALL,min_RH,min_SO2,min_THC,min_WD_HR,min_WIND_DIREC,min_WIND_SPEED,min_WS_HR,max_AMB_TEMP,max_CH4,max_CO,max_NMHC,max_NO,max_NO2,max_NOx,max_O3,max_PM10,max_PM2.5,max_RAINFALL,max_RH,max_SO2,max_THC,max_WD_HR,max_WIND_DIREC,max_WIND_SPEED,max_WS_HR,mean_AMB_TEMP,mean_CH4,mean_CO,mean_NMHC,mean_NO,mean_NO2,mean_NOx,mean_O3,mean_PM10,mean_PM2.5,mean_RAINFALL,mean_RH,mean_SO2,mean_THC,mean_WD_HR,mean_WIND_DIREC,mean_WIND_SPEED,mean_WS_HR,sum_AMB_TEMP,sum_CH4,sum_CO,sum_NMHC,sum_NO,sum_NO2,sum_NOx,sum_O3,sum_PM10,sum_PM2.5,sum_RAINFALL,sum_RH,sum_SO2,sum_THC,sum_WD_HR,sum_WIND_DIREC,sum_WIND_SPEED,sum_WS_HR,item,area
仁武區,2023-01-01,18.0,2.07,0.34,0.09,0.5,11.6,12.3,5.8,39.0,24.0,0.0,71.0,1.2,2.16,330.0,329.0,1.3,1.4,22.0,2.21,0.49,0.22,4.3,18.8,21.7,31.5,65.0,46.0,0.0,94.0,2.9,2.38,349.0,347.0,2.7,2.4,19.599999999999998,2.1408333333333336,0.44,0.135,1.5958333333333332,16.1875,17.829166666666666,15.658333333333333,49.791666666666664,34.333333333333336,0.0,84.54166666666667,2.0541666666666667,2.2758333333333334,336.5416666666667,337.2083333333333,2.2208333333333337,1.9458333333333335,470.4,51.38,10.56,3.24,38.3,388.5,427.9,375.8,1195.0,824.0,0.0,2029.0,49.3,54.62,8077.0,8093.0,53.300000000000004,46.7,0.0,1
仁武區,2023-01-02,18.6,2.0,0.24,0.05,0.6,8.7,9.5,10.4,15.0,12.0,0.0,84.0,0.2,2.05,332.0,33.0,1.3,1.5,22.0,2.08,0.42,0.22,4.1,20.6,22.0,23.5,61.0,39.0,0.0,97.0,1.5,2.27,356.0,355.0,4.2,3.4,19.9375,2.0433333333333334,0.3179166666666667,0.10833333333333334,1.8791666666666667,13.229166666666666,15.145833333333334,15.795833333333334,37.75,26.041666666666668,0.0,91.79166666666667,0.7458333333333332,2.151666666666667,341.9166666666667,328.5416666666667,2.720833333333333,2.5833333333333335,478.5,49.04,7.63,2.6,45.1,317.5,363.5,379.1,906.0,625.0,0.0,2203.0,17.9,51.64,8206.0,7885.0,65.3,62.0,0.0,1
仁武區,2023-01-03,17.1,2.03,0.3,0.06,0.7,9.4,10.2,4.7,27.0,16.0,0.0,72.0,0.5,2.12,321.0,315.0,1.5,1.6,22.1,2.13,0.56,0.25,13.0,33.0,35.0,30.7,49.0,39.0,0.0,97.0,2.7,2.35,346.0,355.0,4.0,3.4,19.120833333333334,2.0837499999999998,0.39958333333333335,0.14416666666666667,3.5708333333333333,18.254166666666666,21.858333333333334,15.558333333333332,40.958333333333336,28.75,0.0,88.08333333333333,1.9458333333333335,2.2279166666666668,338.0,337.3333333333333,2.620833333333333,2.470833333333333,458.9,50.01,9.59,3.46,85.7,438.1,524.6,373.4,983.0,690.0,0.0,2114.0,46.7,53.47,8112.0,8096.0,62.9,59.3,0.0,1
仁武區,2023-01-04,16.7,2.0,0.28,0.03,1.1,12.0,14.5,3.2,14.0,11.0,0.0,56.0,0.8,2.03,263.0,207.0,1.4,0.8,24.0,2.13,0.56,0.28,17.1,27.0,38.0,50.2,55.0,33.0,0.0,90.0,2.3,2.41,348.0,351.0,3.7,3.1,19.479166666666668,2.06625,0.36083333333333334,0.14958333333333332,4.4750000000000005,18.783333333333335,23.28333333333333,20.629166666666666,32.458333333333336,22.0,0.0,78.66666666666667,1.3833333333333335,2.2158333333333333,323.9166666666667,320.7083333333333,2.504166666666667,2.2583333333333333,467.5,49.59,8.66,3.59,107.4,450.8,558.8,495.1,779.0,528.0,0.0,1888.0,33.2,53.18,7774.0,7697.0,60.1,54.2,0.0,1
仁武區,2023-01-05,16.0,1.95,0.28,0.03,1.0,15.2,17.0,0.2,37.0,19.0,0.0,65.0,1.0,1.98,221.0,223.0,1.1,0.8,22.8,2.2,0.84,0.39,22.8,52.2,55.8,43.4,79.0,38.0,0.0,94.0,3.0,2.59,343.0,353.0,2.9,2.7,19.366666666666667,2.082173913043478,0.47043478260869565,0.21173913043478262,5.626086956521739,24.37391304347826,30.039130434782606,13.826086956521738,50.08695652173913,29.772727272727273,0.0,85.125,1.8318181818181818,2.293913043478261,316.0,317.0,2.0124999999999997,1.8708333333333333,464.8,47.89,10.82,4.87,129.4,560.6,690.9,318.0,1152.0,655.0,0.0,2043.0,40.3,52.76,7584.0,7608.0,48.3,44.9,0.0,1
仁武區,2023-01-06,17.9,2.01,0.28,0.07,0.6,11.2,11.9,4.5,34.0,24.0,0.0,55.0,0.3,2.08,325.0,323.0,1.5,1.5,25.0,2.14,0.45,0.19,13.7,25.9,33.7,44.8,66.0,44.0,0.0,98.0,2.2,2.27,351.0,351.0,4.4,3.9,20.416666666666668,2.0520833333333335,0.34541666666666665,0.11416666666666668,3.1666666666666665,16.991666666666667,20.20416666666667,20.279166666666665,50.083333333333336,32.708333333333336,0.0,81.83333333333333,1.2695652173913043,2.1662500000000002,340.0416666666667,338.0833333333333,2.8000000000000003,2.6,490.0,49.25,8.29,2.74,76.0,407.8,484.90000000000003,486.7,1202.0,785.0,0.0,1964.0,29.2,51.99,8161.0,8114.0,67.2,62.4,0.0,1
仁武區,2023-01-07,17.1,2.03,0.34,0.03,0.8,14.9,16.4,0.4,39.0,25.0,0.0,61.0,0.4,2.06,72.0,43.0,0.3,0.1,24.3,2.22,0.85,0.33,26.1,34.0,54.6,54.5,71.0,49.0,0.0,92.0,5.4,2.55,339.0,341.0,3.5,2.9,20.641666666666666,2.12,0.48875,0.15041666666666667,5.737500000000001,21.354166666666668,27.141666666666666,27.425,52.0,33.208333333333336,0.0,78.875,1.891304347826087,2.2704166666666667,292.75,273.2916666666667,1.5458333333333334,1.3375000000000001,495.4,50.88,11.73,3.61,137.70000000000002,512.5,651.4,658.2,1248.0,797.0,0.0,1893.0,43.5,54.49,7026.0,6559.0,37.1,32.1,0.0,1
仁武區,2023-01-08,18.8,2.02,0.33,0.01,0.0,7.8,8.2,3.3,47.0,26.0,0.0,57.0,1.4,2.03,20.0,58.0,0.3,0.2,24.8,2.54,0.82,0.35,9.7,42.5,43.8,64.0,95.0,69.0,0.0,86.0,4.2,2.84,347.0,347.0,3.1,2.7,21.691666666666666,2.2554166666666666,0.58625,0.19000000000000003,1.5833333333333333,22.900000000000002,24.525000000000002,29.474999999999998,74.79166666666667,47.666666666666664,0.0,73.75,2.495833333333333,2.4454166666666666,280.7916666666667,280.5,1.5208333333333333,1.25,520.6,54.129999999999995,14.07,4.5600000000000005,38.0,549.6,588.6,707.4,1795.0,1144.0,0.0,1770.0,59.9,58.69,6739.0,6732.0,36.5,30.0,0.0,1
仁武區,2023-01-09,18.3,2.0,0.31,0.06,0.0,12.1,14.1,0.1,45.0,27.0,0.0,47.0,0.9,2.06,192.0,52.0,0.3,0.4,25.1,2.49,0.92,0.37,33.9,34.6,68.5,58.7,105.0,80.0,0.0,91.0,3.1,2.86,349.0,351.0,4.5,3.1,21.287499999999998,2.2504545454545455,0.52625,0.2340909090909091,5.883333333333333,23.795833333333334,29.729166666666668,22.921739130434784,80.375,53.125,0.0,76.58333333333333,2.0545454545454547,2.484545454545455,315.9166666666667,294.6666666666667,1.8583333333333334,1.7041666666666666,510.9,49.51,12.63,5.15,141.2,571.1,713.5,527.2,1929.0,1275.0,0.0,1838.0,45.2,54.660000000000004,7582.0,7072.0,44.6,40.9,0.0,1
仁武區,2023-01-10,18.9,2.01,0.32,0.08,0.7,15.7,17.9,0.0,46.0,27.0,0.0,65.0,1.4,2.11,6.0,18.0,0.7,0.3,24.3,2.41,0.73,0.42,21.4,32.0,48.4,44.5,93.0,63.0,0.0,91.0,6.1,2.8,349.0,350.0,3.7,2.5,21.391666666666666,2.1599999999999997,0.4675,0.24333333333333332,4.8,23.266666666666666,28.125,19.154166666666665,71.08333333333333,46.708333333333336,0.0,79.83333333333333,2.245833333333333,2.4033333333333333,304.375,309.1666666666667,1.9625000000000001,1.5958333333333332,513.4,51.839999999999996,11.22,5.84,115.19999999999999,558.4,675.0,459.7,1706.0,1121.0,0.0,1916.0,53.9,57.68,7305.0,7420.0,47.1,38.3,0.0,1
