發病日,居住縣市,居住鄉鎮,確定病例數
2023-06-03,台南市,仁德區,1
2023-06-03,台南市,北區,1
2023-06-04,台南市,仁德區,1
2023-06-06,雲林縣,古坑鄉,1
2023-06-08,台南市,仁德區,1
2023-06-09,台南市,仁德區,2
2023-06-11,台南市,永康區,1
2023-06-12,台南市,東區,1
2023-06-13,台南市,仁德區,3
2023-06-13,台南市,東區,1
2023-06-14,台南市,東區,1
2023-06-15,台南市,仁德區,4
2023-06-15,台南市,善化區,1
2023-06-15,台南市,東區,1
2023-06-16,台南市,仁德區,5
2023-06-16,台南市,東區,2
2023-06-17,台南市,仁德區,4
2023-06-17,台南市,安南區,1
2023-06-17,台南市,東區,1
2023-06-18,台南市,仁德區,5
2023-06-18,台南市,北區,1
2023-06-18,台南市,東區,2
2023-06-18,台南市,永康區,1
2023-06-18,雲林縣,古坑鄉,1
2023-06-19,台南市,仁德區,5
2023-06-19,台南市,東區,1
2023-06-19,台南市,永康區,1
2023-06-20,台南市,仁德區,5
2023-06-20,台南市,善化區,1
2023-06-21,台南市,仁德區,4
2023-06-21,高雄市,茄萣區,1
2023-06-22,台南市,仁德區,10
2023-06-22,台南市,東區,4
2023-06-22,雲林縣,古坑鄉,1
2023-06-23,台南市,仁德區,5
2023-06-23,台南市,南區,2
2023-06-23,台南市,東區,3
2023-06-23,台南市,歸仁區,1
2023-06-23,台南市,永康區,1
2023-06-23,雲林縣,古坑鄉,1
2023-06-24,台南市,仁德區,4
2023-06-24,台南市,東區,1
2023-06-24,雲林縣,古坑鄉,1
2023-06-25,台南市,仁德區,8
2023-06-25,台南市,南區,1
2023-06-25,台南市,安南區,1
2023-06-25,台南市,東區,8
2023-06-25,台南市,永康區,1
2023-06-25,雲林縣,古坑鄉,1
2023-06-26,台南市,仁德區,9
2023-06-26,台南市,安南區,1
2023-06-26,台南市,東區,5
2023-06-26,台南市,永康區,1
2023-06-26,雲林縣,古坑鄉,4
2023-06-26,雲林縣,斗六市,1
2023-06-27,台南市,仁德區,9
2023-06-27,台南市,善化區,1
2023-06-27,台南市,東區,7
2023-06-27,雲林縣,古坑鄉,1
2023-06-28,台南市,北區,1
2023-06-28,台南市,安南區,1
2023-06-28,台南市,東區,6
2023-06-28,雲林縣,古坑鄉,1
2023-06-28,高雄市,仁武區,1
2023-06-29,台中市,沙鹿區,1
2023-06-29,台南市,仁德區,3
2023-06-29,台南市,東區,8
2023-06-29,雲林縣,古坑鄉,2
2023-06-30,台南市,仁德區,10
2023-06-30,台南市,東區,4
2023-06-30,屏東縣,屏東市,1
2023-06-30,雲林縣,古坑鄉,1
2023-06-30,雲林縣,台西鄉,1
2023-06-30,雲林縣,斗六市,1
2023-06-30,高雄市,仁武區,1
2023-06-30,高雄市,湖內區,1
2023-06-30,高雄市,鳳山區,1
2023-07-01,台南市,仁德區,8
2023-07-01,台南市,東區,2
2023-07-01,雲林縣,古坑鄉,1
2023-07-01,雲林縣,斗六市,1
2023-07-01,高雄市,三民區,1
2023-07-02,台南市,仁德區,4
2023-07-02,台南市,安南區,2
2023-07-02,台南市,新營區,1
2023-07-02,台南市,東區,4
2023-07-02,台南市,永康區,1
2023-07-02,雲林縣,古坑鄉,2
2023-07-03,台南市,仁德區,8
2023-07-03,台南市,新化區,1
2023-07-03,台南市,東區,5
2023-07-03,台南市,永康區,3
