random_state_index,imbalance_method,significant_feature,model,elapsed_time,train_accuracy,test_accuracy,train_f1,test_f1,cv_acc_mean,cv_acc_std,cv_f1_mean,cv_f1_std
0,none,all_features,Logistic Regression,2.390199661254883,0.902604616713986,0.9106614017769002,0.640218878248974,0.6552380952380953,0.9018928670256383,0.005260191606626012,0.6343485023102468,0.025489578559868532
0,none,all_features,K-Nearest Neighbors,3.3593900203704834,0.8895198123688434,0.8558736426456071,0.5277044854881267,0.3177570093457944,0.8531745835903763,0.005248562050213099,0.3337198466926354,0.02556326949952139
0,none,all_features,Decision Tree,2.175480842590332,1.0,0.9378084896347483,1.0,0.804953560371517,0.9323911445203513,0.0056008197943842545,0.7871960545490686,0.015686650732192883
0,none,all_features,Gaussian Naive Bayes,1.0908434391021729,0.8812492284903098,0.8805528134254689,0.6200631911532386,0.5993377483443708,0.8750482022223746,0.008598431332215366,0.5998741854848745,0.02541913492680556
0,none,all_features,Random Forest,32.2746148109436,1.0,0.9555774925962488,1.0,0.8458904109589042,0.9514671632356188,0.004840098959391493,0.8342990739243614,0.019126512956031985
0,smote,all_features,Logistic Regression,4.771932601928711,0.8710839829386674,0.8657453109575518,0.8720344550697131,0.6539440203562341,0.8701867856189919,0.005778640661472786,0.8712421186968217,0.006105647041519891
0,smote,all_features,K-Nearest Neighbors,7.5571863651275635,0.905942050301515,0.7571569595261599,0.9134817019549483,0.4581497797356828,0.8407069947140312,0.005738122207086331,0.8581821926759684,0.004763113754137842
0,smote,all_features,Decision Tree,5.189849376678467,1.0,0.9210266535044422,1.0,0.7597597597597597,0.9390940377806142,0.004704581457725046,0.9394383607626878,0.004736939758624129
0,smote,all_features,Gaussian Naive Bayes,1.3370640277862549,0.8120311810560377,0.8000987166831195,0.8178189593727726,0.5402951191827469,0.8100555513488956,0.008386462057458901,0.8159766304014947,0.007356663026028674
0,smote,all_features,Random Forest,60.64295244216919,1.0,0.9511352418558736,1.0,0.8384991843393148,0.9728660920970079,0.0029500398053908593,0.973276809159496,0.002978161104094401
1,none,all_features,Logistic Regression,2.012547254562378,0.9055672139242069,0.9052319842053307,0.650525354042942,0.6431226765799256,0.9038433066008638,0.005321896577561192,0.6420431052041815,0.026675744961216986
1,none,all_features,K-Nearest Neighbors,3.0054616928100586,0.8885322799654364,0.8548864758144127,0.5194252261841406,0.36086956521739133,0.8541741418572592,0.004848974093147324,0.3310652046197408,0.030550518663442223
1,none,all_features,Decision Tree,2.3107731342315674,1.0,0.932872655478776,1.0,0.8005865102639296,0.9313378369801701,0.006254366347024924,0.7862306451333297,0.017387728635695453
1,none,all_features,Gaussian Naive Bayes,0.9833176136016846,0.8935933835328972,0.8820335636722606,0.6384228187919463,0.596964586846543,0.8866766665905057,0.00784835605289063,0.6169936234577252,0.02731799172446576
1,none,all_features,Random Forest,32.6572003364563,1.0,0.9531095755182626,1.0,0.8445171849427169,0.9490434269350575,0.004851760253965048,0.8271620804555929,0.01807980097873107
1,smote,all_features,Logistic Regression,4.540848255157471,0.866377408442418,0.8479763079960513,0.8673819429238742,0.6467889908256881,0.8641345623390952,0.005794911524529869,0.8652725463578987,0.006737238096371593
1,smote,all_features,K-Nearest Neighbors,7.505047082901001,0.9065303721135461,0.7230997038499506,0.9136490250696379,0.44837758112094395,0.8408538137579415,0.006844819122316794,0.8581088474787153,0.005902075514025061
1,smote,all_features,Decision Tree,5.197537183761597,1.0,0.9264560710760118,1.0,0.7886524822695036,0.9403833931880954,0.004648580383566432,0.9398734048203449,0.004267621511913496
1,smote,all_features,Gaussian Naive Bayes,1.3761842250823975,0.8133549051331078,0.782329713721619,0.816538961977736,0.5201305767138193,0.8123913969596666,0.00818495246741263,0.8158291187258091,0.008050538375743476
1,smote,all_features,Random Forest,60.881197929382324,1.0,0.9570582428430404,1.0,0.8687782805429864,0.9722582606783057,0.003033130110292977,0.972266507052345,0.0026696361612114786
2,none,all_features,Logistic Regression,1.9436910152435303,0.9039624737686706,0.9057255676209279,0.6421343146274149,0.6558558558558558,0.9024933828886806,0.005622287693271446,0.6348842321161063,0.021646096294079084
2,none,all_features,K-Nearest Neighbors,2.979313850402832,0.8891494877175657,0.851431391905232,0.5248677248677248,0.3325942350332594,0.854092063274461,0.004795447529604478,0.3354121518838291,0.02543054570563406
2,none,all_features,Decision Tree,2.234083414077759,1.0,0.9387956564659428,1.0,0.8092307692307692,0.9321648324587526,0.005961774946388045,0.7903342387864805,0.018362863489106502
2,none,all_features,Gaussian Naive Bayes,0.9848208427429199,0.8814961115911616,0.8820335636722606,0.6129032258064516,0.6088379705400983,0.8774843324371737,0.00876737553916293,0.5991619067347561,0.026126320007740376
2,none,all_features,Random Forest,32.03154253959656,1.0,0.9501480750246791,1.0,0.8285229202037352,0.950100941094635,0.004873926884333875,0.8327724750029408,0.019309611255957464
2,smote,all_features,Logistic Regression,4.6412107944488525,0.8679952934255037,0.849457058242843,0.8687385740402194,0.6399055489964581,0.8668089425177942,0.005437822095789812,0.8675153833861755,0.005748476266327888
2,smote,all_features,K-Nearest Neighbors,7.502995491027832,0.9039564641859097,0.7354392892398816,0.9117686799081205,0.44282744282744285,0.8403564522351789,0.006045370671341021,0.8583789643910383,0.0056914288892136655
2,smote,all_features,Decision Tree,5.271668910980225,1.0,0.9200394866732478,1.0,0.7658959537572254,0.9396578813577654,0.004869120154170367,0.9396201193700982,0.005017688808502932
2,smote,all_features,Gaussian Naive Bayes,1.3148596286773682,0.8115163994705104,0.788746298124383,0.8154654762761898,0.5307017543859649,0.8102294754054619,0.007387335462575134,0.8143572934140125,0.006499841417331666
2,smote,all_features,Random Forest,60.66425180435181,1.0,0.9516288252714709,1.0,0.8463949843260188,0.97310384260361,0.003005545722159005,0.9730696520284823,0.0029108982411582803
3,none,all_features,Logistic Regression,2.238908052444458,0.9077891618318726,0.8993089832181639,0.660916931457104,0.6236162361623616,0.9057563080250721,0.005413538940918734,0.6506491174089633,0.02179731311197193
3,none,all_features,K-Nearest Neighbors,3.003925323486328,0.8910011109739538,0.857847976307996,0.5398645127670662,0.37117903930131,0.8544501285849562,0.004531757649281309,0.34096570819379224,0.026481806359115023
3,none,all_features,Decision Tree,2.0855300426483154,1.0,0.928923988153998,1.0,0.7824773413897281,0.9307000073622188,0.006039368755093985,0.7851452472526892,0.01898794061692439
3,none,all_features,Gaussian Naive Bayes,1.0511577129364014,0.8824836439945686,0.8780848963474828,0.6272513703993735,0.6146645865834633,0.8791140712307345,0.008291532372622406,0.6092767262749065,0.05032611673764304
3,none,all_features,Random Forest,31.826849699020386,1.0,0.9526159921026653,1.0,0.840531561461794,0.9502202395005876,0.004845927054580177,0.8307404407155892,0.018355458716252493
3,smote,all_features,Logistic Regression,4.9966394901275635,0.8713046036181792,0.8613030602171767,0.8720198917653942,0.6634730538922156,0.8692259634453265,0.005895563949239011,0.8699737512475552,0.005555505594435066
3,smote,all_features,K-Nearest Neighbors,7.433141708374023,0.9069716134725695,0.7102665350444225,0.9142547278519623,0.4100502512562814,0.8391994146132157,0.006365764805461865,0.8576329684564851,0.005625232264321112
3,smote,all_features,Decision Tree,5.2312164306640625,1.0,0.9284304047384008,1.0,0.7907647907647908,0.937461292718632,0.004488010362304232,0.9368005166953522,0.004389934283461205
3,smote,all_features,Gaussian Naive Bayes,1.3992841243743896,0.8209295484630093,0.7897334649555775,0.8235123577589331,0.5328947368421053,0.8199000398430795,0.008201228551180221,0.8225056445125686,0.007474967309576456
3,smote,all_features,Random Forest,59.372260093688965,1.0,0.9540967423494571,1.0,0.8584474885844748,0.9729911236469578,0.003087744297239988,0.9731866174743466,0.0032377307108513863
4,none,all_features,Logistic Regression,2.067589282989502,0.906431304777188,0.9052319842053307,0.6563916591115141,0.6483516483516484,0.9044683462679897,0.00586905920090211,0.64522270941694,0.02600758324165196
4,none,all_features,K-Nearest Neighbors,2.9515576362609863,0.8893963708184175,0.8529121421520237,0.5239107332624867,0.34649122807017546,0.8548369268576274,0.005741271665431372,0.3385325170590577,0.02872791161841234
4,none,all_features,Decision Tree,2.1871235370635986,1.0,0.9259624876604146,1.0,0.7720364741641338,0.9324569982965348,0.005486786329602091,0.7868174868122508,0.01757294527707117
4,none,all_features,Gaussian Naive Bayes,0.9998645782470703,0.8806320207381805,0.876604146100691,0.6203376521397723,0.6031746031746031,0.874509820945766,0.00812390557672538,0.6056077234201043,0.02391567642429944
4,none,all_features,Random Forest,31.943486213684082,1.0,0.9521224086870681,1.0,0.8401976935749588,0.951586266161974,0.004614391031309869,0.8364342718108867,0.017147501946139593
4,smote,all_features,Logistic Regression,4.7159881591796875,0.8684365347845271,0.8435340572556762,0.8694255893730385,0.6283704572098476,0.8667033520469607,0.0058348844122806266,0.867660111155002,0.005572424778864498
4,smote,all_features,K-Nearest Neighbors,7.418841123580933,0.9061626709810267,0.7240868706811451,0.9135384198400868,0.4448857994041708,0.8414889827575016,0.0060825557939386005,0.8583790156213388,0.005272121881557556
4,smote,all_features,Decision Tree,5.183857440948486,1.0,0.9239881539980257,1.0,0.7755102040816326,0.9418591601223056,0.004393925467591725,0.9417434002622465,0.004835628578738051
4,smote,all_features,Gaussian Naive Bayes,1.3382701873779297,0.8204883071039859,0.7769002961500494,0.8245273524548918,0.5191489361702127,0.818311462908076,0.007882589684812057,0.8226956016937532,0.007079364931389849
4,smote,all_features,Random Forest,60.39295744895935,1.0,0.9511352418558736,1.0,0.847926267281106,0.9736823298646418,0.0030021436772838597,0.9738347171874333,0.0029466583343355024
5,none,all_features,Logistic Regression,2.085369825363159,0.9081594864831503,0.8978282329713722,0.659963436928702,0.629695885509839,0.9059456922135651,0.005298390053494893,0.6498156308905058,0.023960216027462938
5,none,all_features,K-Nearest Neighbors,2.9449093341827393,0.8875447475620294,0.853405725567621,0.51309460181721,0.35853131749460043,0.8552935494271431,0.004384811293687568,0.3361945386273657,0.026467848776727053
5,none,all_features,Decision Tree,2.192044973373413,1.0,0.9254689042448174,1.0,0.7701674277016742,0.9331316897814944,0.005009354148889242,0.7927651855682094,0.01968755877239809
5,none,all_features,Gaussian Naive Bayes,1.057422399520874,0.8860634489569189,0.8830207305034551,0.6237260497350183,0.6095551894563427,0.8799817467752211,0.007410294806901683,0.6017207649140072,0.02911940190583235
5,none,all_features,Random Forest,31.58035635948181,1.0,0.945705824284304,1.0,0.8202614379084967,0.9524213753132117,0.005296564714951406,0.8381912107417926,0.019584892510158818
5,smote,all_features,Logistic Regression,4.926156759262085,0.8711575231651714,0.8524185587364265,0.8720420683610868,0.6401925391095066,0.8697162460607634,0.00590734886103082,0.8706527390562807,0.006016335101478433
5,smote,all_features,K-Nearest Neighbors,7.454130172729492,0.9063097514340345,0.7240868706811451,0.9137791012452626,0.45142296368989204,0.8400377427543286,0.006451755815945372,0.8577647166758766,0.005863462223302618
5,smote,all_features,Decision Tree,5.263380765914917,1.0,0.9155972359328727,1.0,0.7553648068669528,0.9411506428978358,0.004413343599294889,0.9411560272806967,0.004778943069991625
5,smote,all_features,Gaussian Naive Bayes,1.304537057876587,0.8263715252242977,0.7931885488647581,0.8283782801482882,0.5430752453653217,0.8235279027756744,0.007028689645748345,0.8253502570171385,0.006893363929858709
5,smote,all_features,Random Forest,59.77250790596008,1.0,0.9461994076999013,1.0,0.8340943683409436,0.9729102485054337,0.0033291627848869593,0.9729773824923118,0.0031585904010157234
6,none,all_features,Logistic Regression,2.090221881866455,0.9068016294284656,0.9032576505429417,0.6544622425629291,0.6474820143884892,0.9041722606834678,0.005228164035352135,0.6418238880104797,0.022712432145167202
6,none,all_features,K-Nearest Neighbors,2.9625766277313232,0.889890137020121,0.8543928923988154,0.5329842931937173,0.3458980044345898,0.853376290609617,0.005283555754725722,0.33348457001370396,0.03109639952819086
6,none,all_features,Decision Tree,2.25761342048645,1.0,0.9353405725567621,1.0,0.8006088280060882,0.9331069451108521,0.006410563938366241,0.7887732934331082,0.017042275497772305
6,none,all_features,Gaussian Naive Bayes,0.9709024429321289,0.8884088384150105,0.8923988153998026,0.6282894736842105,0.6366666666666667,0.8811506462250858,0.008275545381142875,0.6076587671391536,0.026822035925176776
6,none,all_features,Random Forest,32.177093267440796,1.0,0.9481737413622903,1.0,0.8205128205128205,0.9521170237342695,0.004658810159056478,0.8370635845290142,0.01955576288846884
6,smote,all_features,Logistic Regression,4.770192861557007,0.8665244888954258,0.8652517275419546,0.8672177920842783,0.660024906600249,0.865813537091924,0.00566465832809782,0.8664305412966116,0.005996653556127318
6,smote,all_features,K-Nearest Neighbors,7.439704418182373,0.9100603029857331,0.730009871668312,0.9169665286170141,0.41993637327677624,0.8451953996567365,0.005832651300969894,0.8619800132374138,0.005820844551495954
