v1,v2,v3,v4,v5,v6_1,v6_2,v6_3,v6_4,v6_5,v6_6,v6_7,v7_1,v7_2,v7_3,v7_4,v7_5,v7_6,v7_7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,wei
1,3,04:00,04:00,99999,1,3,99,99,99,99,99,1,3,5,99,99,99,99,2,3,3,2,1,2,1,3,1,1,2,9,9,3,3,2,2,1,1,1,1,3,2,6,3,6,99,2,1,.940262
1,3,99994,99999,00:30,97,99,99,99,99,99,99,97,99,99,99,99,99,99,1,1,1,1,1,1,1,1,1,1,2,9,9,1,1,1,2,2,1,1,1,1,1,8,14,5,99,18,1,.592399
1,3,03:00,03:00,99999,3,5,6,99,99,99,99,3,99,99,99,99,99,99,1,1,1,2,1,2,3,2,3,2,2,9,9,3,1,5,2,2,3,3,1,1,8,7,14,6,99,12,2,.988376
1,3,99994,99999,12:00,2,5,6,99,99,99,99,6,99,99,99,99,99,99,3,4,2,3,4,4,2,1,1,2,1,4,2,5,2,5,1,2,1,1,3,3,1,6,6,5,99,15,2,.900903
1,2,99994,99999,01:30,97,99,99,99,99,99,99,97,99,99,99,99,99,99,2,1,1,3,1,1,1,1,1,1,2,9,9,3,3,5,1,1,1,1,4,3,4,7,11,3,99,2,2,.906526
1,3,00:30,00:30,99999,97,99,99,99,99,99,99,97,99,99,99,99,99,99,3,1,3,1,2,3,1,1,1,4,2,9,9,1,2,3,2,2,3,1,3,1,8,6,11,4,99,3,2,.907356
1,3,02:00,04:00,99999,1,2,3,5,6,99,99,2,4,5,6,99,99,99,1,3,1,1,2,2,1,1,1,1,2,9,9,2,1,1,2,2,1,1,2,2,2,3,3,6,99,7,2,1.115022
1,3,00:30,00:30,99999,5,99,99,99,99,99,99,5,99,99,99,99,99,99,1,1,1,1,2,1,2,2,1,1,2,9,9,1,2,1,2,2,1,1,2,4,5,7,6,4,99,6,1,.779419
1,1,99994,99999,02:30,96,99,99,99,99,99,99,97,99,99,99,99,99,99,1,1,1,1,1,2,1,1,1,2,2,9,9,2,1,3,2,2,1,1,2,2,8,8,11,4,99,9,2,.583366
1,2,03:30,01:00,99999,5,99,99,99,99,99,99,2,99,99,99,99,99,99,2,2,1,1,1,1,1,1,2,3,2,9,9,2,1,1,1,1,1,1,2,2,3,6,6,3,99,10,2,.938049
1,2,01:00,00:10,99999,6,99,99,99,99,99,99,6,99,99,99,99,99,99,2,2,2,2,2,2,2,2,2,2,2,9,9,4,5,5,2,2,1,2,4,4,4,8,14,5,99,14,1,.601432
1,3,99994,99999,00:30,5,99,99,99,99,99,99,97,99,99,99,99,99,99,1,1,1,1,1,1,1,1,1,1,2,9,9,2,3,4,2,2,3,2,1,3,2,8,14,2,99,1,1,.610741
1,3,99994,99999,05:00,97,99,99,99,99,99,99,97,99,99,99,99,99,99,2,2,2,2,2,2,2,2,2,2,2,9,9,2,1,3,2,2,1,1,2,2,2,5,11,4,99,19,2,.766238
1,1,06:00,12:00,99999,1,2,3,4,5,6,99,4,1,99,99,99,99,99,3,3,4,3,4,3,3,3,3,3,1,3,2,3,2,3,2,2,3,2,2,3,2,3,10,6,99,9,1,1.286373
1,3,08:00,11:00,99999,97,99,99,99,99,99,99,2,99,99,99,99,99,99,4,2,1,1,1,2,1,1,2,1,2,9,9,1,1,5,2,2,1,1,2,2,2,6,8,4,99,17,1,.920444
1,3,00:30,00:15,99999,97,99,99,99,99,99,99,97,99,99,99,99,99,99,1,2,2,1,2,1,2,2,2,2,2,9,9,2,1,1,1,2,1,1,1,3,1,6,5,3,99,2,2,.883759
1,3,01:00,01:00,99999,2,5,6,99,99,99,99,97,99,99,99,99,99,99,2,2,3,2,2,2,2,2,2,2,2,9,9,1,1,1,2,2,1,1,1,1,2,6,6,6,99,10,1,.997962
1,3,99994,99999,02:00,97,99,99,99,99,99,99,97,99,99,99,99,99,99,1,1,1,1,1,1,1,1,1,1,2,9,9,1,1,1,2,2,1,1,1,1,1,6,7,5,99,15,2,.900903
1,3,99998,02:00,99999,97,99,99,99,99,99,99,97,99,99,99,99,99,99,3,3,3,2,2,2,2,2,3,3,2,9,9,4,3,3,1,1,1,1,2,4,4,6,4,5,99,1,1,.854171
1,1,06:00,12:00,99999,2,3,4,5,6,99,99,2,3,5,99,99,99,99,4,4,4,4,4,4,2,2,2,2,1,4,2,2,2,2,2,2,1,1,2,4,1,3,5,6,99,9,2,1.209132
1,3,10:00,99997,99999,1,2,3,4,5,6,99,1,99,99,99,99,99,99,2,2,2,2,3,2,2,2,2,2,2,9,9,3,2,2,2,2,1,2,2,2,2,4,6,6,99,16,2,1.152998
1,3,00:30,01:00,99999,97,99,99,99,99,99,99,97,99,99,99,99,99,99,2,3,2,2,2,2,2,2,2,2,2,9,9,1,1,1,2,2,1,1,2,2,2,6,7,3,99,16,2,.906434
1,3,03:00,05:00,99999,1,5,99,99,99,99,99,5,99,99,99,99,99,99,1,1,1,1,1,1,2,1,1,1,2,9,9,2,1,3,2,1,1,2,1,1,1,6,6,4,99,5,2,.859886
1,3,01:30,02:00,99999,2,3,5,99,99,99,99,2,3,5,99,99,99,99,2,2,2,4,2,4,2,1,3,1,1,3,2,2,2,1,2,1,3,2,3,1,4,2,12,4,7,4,1,1.360204
1,1,99997,99997,99999,4,6,99,99,99,99,99,97,99,99,99,99,99,99,2,3,4,2,2,1,1,1,1,1,1,3,2,3,2,3,2,2,3,2,1,4,1,4,5,4,99,5,2,1.093822
1,3,03:00,05:00,99999,5,3,99,99,99,99,99,5,3,99,99,99,99,99,1,1,1,3,2,2,2,2,2,3,1,3,2,3,1,3,1,1,1,5,2,3,3,1,12,3,3,9,2,1.590545
1,3,01:00,00:30,99999,1,4,5,6,99,99,99,97,99,99,99,99,99,99,1,1,1,2,2,1,2,2,1,1,2,9,9,2,3,3,2,2,3,2,2,4,1,6,8,4,99,8,2,.955286
1,3,00:10,00:10,99999,97,99,99,99,99,99,99,97,99,99,99,99,99,99,1,1,1,1,1,1,1,1,1,1,2,9,9,3,1,3,2,2,1,1,1,1,1,8,7,4,99,5,1,.654155
1,3,03:00,03:00,99999,97,99,99,99,99,99,99,97,99,99,99,99,99,99,2,3,3,3,2,3,3,3,3,3,1,3,2,3,1,3,2,1,2,2,2,3,2,6,13,5,99,16,1,.964319
1,3,03:30,03:30,99999,1,2,5,99,99,99,99,2,5,99,99,99,99,99,4,4,3,3,4,2,1,1,3,3,2,9,9,3,1,1,2,2,1,1,4,2,5,6,11,4,99,2,2,.883759
1,3,05:00,10:00,99999,97,99,99,99,99,99,99,98,99,99,99,99,99,99,4,1,1,1,1,1,1,1,1,1,2,9,9,1,1,1,1,1,3,2,1,5,5,4,4,7,99,2,2,1.124148
1,3,02:00,03:00,99999,4,99,99,99,99,99,99,4,99,99,99,99,99,99,2,2,2,2,2,2,2,2,2,2,2,9,9,2,2,2,2,1,1,1,1,2,1,4,13,4,99,15,1,1.219271
1,3,04:00,06:00,99999,1,2,4,99,99,99,99,1,2,4,99,99,99,99,3,4,4,2,4,2,2,2,4,2,2,9,9,1,1,1,2,1,1,1,3,2,1,5,6,4,99,1,1,.89565
1,3,01:00,01:00,99999,2,3,4,5,6,99,99,97,99,99,99,99,99,99,2,2,2,2,2,2,2,1,2,1,2,9,9,1,1,1,2,2,1,1,2,2,2,7,10,4,99,17,1,.944041
1,2,02:00,02:00,99999,5,6,99,99,99,99,99,6,5,99,99,99,99,99,2,1,2,3,2,2,2,4,2,2,2,9,9,1,1,1,2,1,1,1,2,2,1,5,6,4,99,1,1,.89565
1,3,02:30,03:00,99999,97,99,99,99,99,99,99,97,99,99,99,99,99,99,1,1,1,2,2,3,2,2,2,2,2,9,9,1,1,1,2,2,1,1,2,1,2,5,10,4,99,16,1,1.011143
1,3,99994,99999,03:00,2,4,6,99,99,99,99,97,99,99,99,99,99,99,1,1,1,2,2,2,1,1,1,1,2,9,9,3,2,3,2,2,1,1,1,2,1,6,11,6,99,2,2,.883759
1,1,03:00,06:00,99999,2,3,4,6,99,99,99,4,99,99,99,99,99,99,2,3,2,3,3,3,3,2,2,3,2,9,9,3,1,2,2,2,1,2,3,3,2,7,6,4,99,4,2,1.055294
1,1,03:00,06:00,99999,3,5,99,99,99,99,99,97,99,99,99,99,99,99,1,1,1,1,4,1,1,1,1,1,2,9,9,3,1,2,2,1,2,2,1,1,1,5,2,6,99,12,1,1.074927
1,1,03:00,08:00,99999,2,5,6,99,99,99,99,2,3,4,5,6,99,99,1,2,3,3,3,3,2,1,2,2,1,3,2,2,1,2,2,1,3,2,1,2,2,1,12,4,5,5,1,1.783464
1,1,03:00,05:00,99999,1,2,3,4,6,99,99,2,99,99,99,99,99,99,2,2,3,2,2,2,1,1,4,2,2,9,9,4,5,4,2,1,1,2,2,3,3,5,10,7,99,15,2,.944686
1,3,01:00,00:30,99999,1,4,99,99,99,99,99,1,4,99,99,99,99,99,1,2,2,3,3,4,3,4,4,4,2,9,9,3,1,3,2,1,1,1,1,4,1,2,12,5,99,2,1,1.168391
1,1,04:00,04:00,99999,6,99,99,99,99,99,99,2,3,99,99,99,99,99,2,2,2,1,3,3,2,2,2,3,2,9,9,1,1,4,2,2,1,1,1,5,8,8,14,3,99,10,2,.670746
1,3,06:00,03:00,99999,97,99,99,99,99,99,99,97,99,99,99,99,99,99,1,2,1,1,2,2,4,1,1,1,1,3,2,1,1,1,2,2,2,2,2,5,1,6,14,6,99,1,1,.854171
1,1,03:00,03:00,99999,1,2,3,5,6,99,99,2,5,99,99,99,99,99,2,2,2,2,3,2,2,2,2,2,2,9,9,1,1,1,2,1,1,2,2,2,3,5,5,4,99,2,2,.92662
1,3,01:00,02:00,99999,97,99,99,99,99,99,99,97,99,99,99,99,99,99,1,1,1,1,1,1,1,1,1,1,2,9,9,2,1,4,2,1,3,2,2,1,1,7,2,6,99,16,1,.989113
1,3,99994,99999,00:30,6,99,99,99,99,99,99,6,99,99,99,99,99,99,1,1,1,1,1,1,1,1,1,1,2,9,9,1,1,2,2,2,1,1,1,2,8,8,11,1,99,9,2,.583366
