Sample,x1,x2,x3,x4,x5
1,138.1,110.8,138.7,137.4,125.4
2,149.3,142.1,105,134,92.3
3,115.9,135.6,124.2,155,117.4
4,118.5,116.5,130.2,122.6,100.2
5,108.2,123.8,117.1,142.4,150.9
6,102.8,112,135,135,145.8
7,120.4,84.3,112.8,118.5,119.3
8,132.7,151.1,124,123.9,105.1
9,136.4,126.2,154.7,127.1,173.2
10,135,115.4,149.1,138.3,130.4
11,139.6,127.9,151.1,143.7,110.5
12,125.3,160.2,130.4,152.4,165.1
13,145.7,101.8,149.5,113.3,151.8
14,138.6,139,131.9,140.2,141.1
15,110.1,114.6,165.1,113.8,139.6
16,145.2,101,154.6,120.2,117.3
17,125.9,135.3,121.5,147.9,105
18,129.7,97.3,130.5,109,150.5
19,123.4,150,161.6,148.4,154.2
20,144.8,138.3,119.6,151.8,142.7
