"","x"
"1",1
"2",1
"3",0
"4",1
"5",1
"6",1
"7",1
"8",1
"9",0
"10",1
"11",1
"12",1
"13",1
"14",1
"15",0
"16",1
"17",0
"18",0
"19",1
"20",1
"21",0
"22",0
"23",1
"24",0
"25",0
"26",1
"27",1
"28",1
"29",1
"30",1
"31",0
"32",1
"33",1
"34",1
"35",0
"36",1
"37",1
"38",1
"39",0
"40",0
"41",1
"42",1
"43",0
"44",1
"45",1
"46",0
"47",0
"48",1
"49",1
"50",1
"51",0
"52",0
"53",1
"54",1
"55",0
"56",0
"57",1
"58",0
"59",0
"60",1
"61",1
"62",0
"63",1
"64",0
"65",1
"66",0
"67",1
"68",0
"69",1
"70",0
"71",0
"72",1
"73",0
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",0
"82",1
"83",0
"84",0
"85",1
"86",0
"87",1
"88",1
"89",0
"90",1
"91",0
"92",1
"93",0
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",0
"101",0
"102",1
"103",1
"104",1
"105",1
"106",0
"107",1
"108",1
"109",0
"110",1
"111",0
"112",1
"113",1
"114",1
"115",0
"116",0
"117",0
"118",1
"119",0
"120",0
"121",0
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",0
"132",0
"133",1
"134",1
"135",0
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",0
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",1
"151",1
"152",1
"153",1
"154",0
"155",1
"156",0
"157",1
"158",0
"159",1
"160",0
"161",1
"162",1
"163",1
"164",1
"165",1
"166",0
"167",1
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",0
"181",1
"182",0
"183",1
"184",0
"185",1
"186",1
"187",0
"188",1
"189",1
"190",1
"191",1
"192",0
"193",1
"194",1
"195",1
"196",0
"197",1
"198",1
"199",0
"200",1
"201",1
"202",0
"203",0
"204",1
"205",1
"206",0
"207",1
"208",1
"209",1
"210",1
"211",1
"212",1
"213",1
"214",0
"215",1
"216",0
"217",0
"218",1
"219",1
"220",0
"221",1
"222",1
"223",1
"224",1
"225",1
"226",1
"227",0
"228",1
"229",1
"230",0
"231",1
"232",1
"233",0
"234",1
"235",0
"236",1
"237",1
"238",1
"239",1
"240",0
"241",1
"242",0
"243",1
"244",0
"245",1
"246",1
"247",1
"248",0
"249",1
"250",1
"251",0
"252",1
"253",1
"254",1
"255",0
"256",1
"257",0
"258",1
"259",1
"260",1
"261",1
"262",0
"263",1
"264",1
"265",1
"266",0
"267",1
"268",1
"269",1
"270",0
"271",1
"272",0
"273",1
"274",0
"275",1
"276",0
"277",1
"278",1
"279",0
"280",1
"281",0
"282",1
"283",1
"284",1
"285",1
"286",0
"287",1
"288",0
"289",1
"290",1
"291",1
"292",1
"293",1
"294",1
"295",0
"296",1
"297",0
"298",1
"299",0
"300",1
"301",1
"302",1
"303",0
"304",1
"305",1
"306",0
"307",1
"308",1
"309",1
"310",1
"311",0
"312",1
"313",1
"314",1
"315",0
"316",1
"317",1
"318",1
"319",0
"320",0
"321",1
"322",0
"323",1
"324",1
"325",1
"326",1
"327",1
"328",1
"329",1
"330",1
"331",1
"332",1
"333",1
"334",1
"335",1
"336",0
"337",1
"338",0
"339",1
"340",1
"341",1
"342",0
"343",1
"344",0
"345",1
"346",1
"347",1
"348",1
"349",0
"350",1
"351",1
"352",1
"353",1
"354",1
"355",1
"356",0
"357",1
"358",1
"359",1
"360",1
"361",1
"362",1
"363",1
"364",1
"365",1
"366",1
"367",0
"368",0
"369",1
"370",0
"371",1
"372",1
"373",0
"374",0
"375",1
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",1
"383",1
"384",1
"385",0
"386",0
"387",1
"388",1
"389",1
"390",0
"391",0
"392",1
"393",1
"394",1
"395",1
"396",1
"397",0
"398",1
"399",1
"400",1
"401",1
"402",1
"403",0
"404",1
"405",1
"406",1
"407",1
"408",1
"409",1
"410",1
"411",1
"412",1
"413",1
"414",1
"415",0
"416",1
"417",1
"418",1
"419",0
"420",1
"421",1
"422",0
"423",1
"424",1
"425",1
"426",0
"427",1
"428",0
"429",1
"430",1
"431",1
"432",1
"433",0
"434",1
"435",1
"436",1
"437",1
"438",1
"439",1
"440",1
"441",0
"442",1
"443",0
"444",0
"445",1
"446",1
"447",1
"448",1
"449",1
"450",1
"451",1
"452",1
"453",1
"454",1
"455",1
"456",1
"457",0
"458",0
"459",0
"460",0
"461",1
"462",1
"463",1
"464",1
"465",1
"466",1
"467",1
"468",1
"469",0
"470",1
"471",1
"472",0
"473",1
"474",1
"475",1
"476",0
"477",1
"478",0
"479",1
"480",1
"481",1
