NO,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q111,Q112,Q113,Q114,Q12,Q13,A1,A2,A3,A4,A5,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,H1,H2,I1,I2,I3,J1,J2,J3,K1,K2,K3,K4,³Æµù
1,1,,2,1,,4,3,4,4,1,1,0,1,0,2,1,5,5,5,6,5,5,6,5,6,5,6,5,6,5,5,3,3,4,4,5,5,4,3,3,3,3,4,3,3,4,3,4,3,4,
2,1,6,2,1,7,3,4,4,4,1,1,0,1,0,2,1,5,4,5,4,5,5,4,5,5,4,5,5,4,5,4,3,4,4,3,4,5,4,5,4,5,4,5,5,4,5,5,4,5,4,
3,1,4,2,1,4,4,2,2,3,1,0,1,1,0,1,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2,2,2,2,2,2,5,5,2,4,2,2,2,1,1,1,5,5,2,5,
4,1,2,1,1,3,4,2,2,2,1,0,1,1,0,1,1,5,4,5,5,5,5,4,4,5,4,5,5,4,5,3,3,3,3,3,3,4,6,3,3,1,1,2,1,1,2,4,5,3,4,
5,2,4,3,1,6,4,3,2,3,3,0,1,1,0,3,1,5,5,4,4,4,5,3,5,5,4,5,5,4,5,3,3,3,4,3,2,4,6,1,4,3,3,1,2,1,2,5,5,1,4,
6,2,2,1,1,3,4,1,1,3,1,0,1,1,0,2,1,4,5,5,4,4,5,3,5,4,4,4,4,3,5,3,4,3,3,1,3,3,5,3,3,3,2,2,3,2,2,3,3,3,4,
7,2,1,1,1,2,4,3,3,3,1,0,0,1,1,1,1,5,5,4,6,5,5,4,5,5,5,5,5,5,5,4,4,4,2,3,3,5,6,3,4,3,2,1,4,2,3,5,5,2,6,
8,1,2,1,1,1,4,2,2,3,1,1,0,0,1,1,2,4,4,3,2,3,4,3,5,4,4,5,5,4,5,6,5,6,4,2,4,3,5,4,3,3,4,3,4,3,5,5,4,2,3,
9,2,1,1,1,2,4,2,1,3,4,0,0,1,1,1,2,3,3,4,4,4,4,3,4,4,3,5,4,4,3,4,3,3,3,1,2,3,1,3,3,1,2,3,3,5,3,4,4,2,4,
10,1,2,1,1,4,3,4,2,2,1,0,0,1,1,1,2,1,3,2,2,2,1,2,3,1,1,2,1,2,3,3,2,2,2,1,2,4,2,2,3,3,2,3,2,3,3,3,5,6,2,
11,1,1,1,1,3,3,2,1,2,1,0,0,1,1,1,1,5,4,5,4,5,3,3,3,5,4,5,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,
12,1,2,3,1,1,3,1,1,3,2,0,0,1,1,4,2,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,2,3,
13,1,2,1,1,1,4,2,1,3,1,0,1,1,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
14,2,2,1,1,3,4,3,1,3,2,0,0,1,1,2,2,3,3,3,3,3,3,2,3,3,3,2,4,3,2,2,2,2,2,2,2,3,2,2,4,3,4,4,4,4,3,4,4,5,6,
