行政區,1,2,3,4,5,6,7,8,9,10,11,12
左營區,196003,196192,196479,196620,196769,196824,197023,197009,196953,197026,197078,197276
楠梓區,191521,191672,191853,191929,192105,192242,192485,192667,192777,192888,192944,193139
前金區,26728,26808,26856,26897,26929,26924,26972,27011,27033,27053,27064,27098
小港區,154852,154817,154878,154878,154931,154977,155026,155066,155042,155034,154970,155009
鳳山區,356359,356633,356693,356712,356813,356713,356762,356594,356397,356463,356476,356536
仁武區,95309,95522,95745,95934,96131,96353,96582,96808,97008,97155,97261,97337
大寮區,111575,111578,111574,111663,111770,111735,111845,111906,111910,111923,111916,111986
林園區,68459,68374,68340,68371,68303,68292,68325,68354,68328,68299,68254,68216
橋頭區,40551,40689,40819,40878,40971,41036,41138,41346,41488,41605,41685,41712
總計,1241357,1242285,1243237,1243882,1244722,1245096,1246158,1246761,1246936,1247446,1247648,1248309
