station,date,min_AMB_TEMP,min_CH4,min_CO,min_NMHC,min_NO,min_NO2,min_NOx,min_O3,min_PM10,min_PM2.5,min_RAINFALL,min_RH,min_SO2,min_THC,min_WD_HR,min_WIND_DIREC,min_WIND_SPEED,min_WS_HR,max_AMB_TEMP,max_CH4,max_CO,max_NMHC,max_NO,max_NO2,max_NOx,max_O3,max_PM10,max_PM2.5,max_RAINFALL,max_RH,max_SO2,max_THC,max_WD_HR,max_WIND_DIREC,max_WIND_SPEED,max_WS_HR,mean_AMB_TEMP,mean_CH4,mean_CO,mean_NMHC,mean_NO,mean_NO2,mean_NOx,mean_O3,mean_PM10,mean_PM2.5,mean_RAINFALL,mean_RH,mean_SO2,mean_THC,mean_WD_HR,mean_WIND_DIREC,mean_WIND_SPEED,mean_WS_HR,居住縣市,item,item_bool
仁武區,2022-01-01,15.3,1.95,0.26,0.04,0.1,8.6,9.6,8.5,20.0,9.0,0.0,34.0,1.1,1.99,330.0,0.0,0.5,0.9,25.3,2.09,0.46,0.36,6.2,24.3,26.6,52.5,55.0,36.0,0.0,88.0,5.4,2.42,353.0,347.0,4.2,3.4,19.758333333333333,2.02,0.36083333333333334,0.12416666666666666,1.4875,16.666666666666668,18.212500000000002,27.758333333333336,37.791666666666664,21.458333333333332,0.0,62.5,1.9708333333333332,2.1441666666666666,341.4166666666667,315.5416666666667,2.3291666666666666,2.129166666666667,,0.0,0
仁武區,2022-01-02,15.2,1.96,0.26,0.01,0.5,9.1,10.3,2.9,28.0,15.0,0.0,43.0,0.6,1.97,275.0,272.0,0.5,0.3,25.1,2.19,0.51,0.39,9.5,23.2,31.2,53.6,62.0,38.0,0.0,95.0,2.3,2.52,351.0,353.0,3.6,3.1,19.7,2.07125,0.39916666666666667,0.13958333333333334,2.058333333333333,15.929166666666667,18.025000000000002,26.433333333333334,44.25,27.625,0.0,74.66666666666667,1.4458333333333335,2.2108333333333334,324.9583333333333,323.375,1.6708333333333334,1.4041666666666668,,0.0,0
仁武區,2022-01-03,15.4,1.98,0.29,0.03,0.1,11.7,12.7,1.3,34.0,21.0,0.0,37.0,0.9,2.01,7.0,67.0,0.6,0.4,25.9,2.19,0.77,0.37,38.0,44.1,65.9,57.1,86.0,64.0,0.0,93.0,2.8,2.54,352.0,348.0,2.9,2.3,20.1875,2.115217391304348,0.5139130434782608,0.20652173913043478,5.717391304347826,23.991304347826084,29.743478260869566,22.62173913043478,60.0,37.0,0.0,68.54166666666667,1.7,2.3217391304347825,324.0,324.4166666666667,1.6333333333333335,1.4541666666666666,,0.0,0
仁武區,2022-01-04,16.3,1.99,0.4,0.08,0.4,17.3,18.3,1.9,53.0,29.0,0.0,53.0,1.3,2.09,8.0,3.0,0.7,0.4,25.2,2.23,0.88,0.57,38.6,42.8,76.8,78.0,106.0,62.0,0.0,93.0,6.1,2.72,347.0,351.0,2.7,2.1,20.641666666666666,2.105,0.5475,0.2683333333333333,6.1125,26.925,33.07083333333333,29.241666666666664,72.08333333333333,45.708333333333336,0.0,74.79166666666667,2.5208333333333335,2.3733333333333335,298.7916666666667,301.5416666666667,1.4291666666666665,1.2333333333333334,,0.0,0
仁武區,2022-01-05,19.1,1.99,0.36,0.11,0.5,15.5,17.9,3.3,44.0,27.0,0.0,51.0,1.5,2.1,64.0,32.0,0.7,0.7,26.2,2.22,0.78,0.51,26.9,36.9,63.5,58.9,92.0,60.0,0.0,90.0,3.9,2.73,359.0,351.0,3.2,2.7,21.84166666666667,2.0991666666666666,0.48125,0.23208333333333334,4.545833333333333,25.212500000000002,29.816666666666666,22.704166666666666,65.08333333333333,42.708333333333336,0.0,75.83333333333333,2.4125,2.3312500000000003,327.6666666666667,313.0833333333333,1.95,1.675,,0.0,0
仁武區,2022-01-06,18.2,2.02,0.36,0.13,1.3,19.1,20.6,3.7,31.0,19.0,0.0,56.0,1.1,2.15,251.0,266.0,1.4,1.1,25.3,2.14,0.56,0.31,18.1,30.0,46.8,46.7,87.0,46.0,0.0,85.0,3.8,2.44,347.0,348.0,4.3,3.1,20.662499999999998,2.0625,0.4295833333333334,0.19708333333333336,4.991666666666666,24.087500000000002,29.120833333333334,19.757142857142856,51.541666666666664,32.583333333333336,0.0,74.70833333333333,2.158333333333333,2.259583333333333,334.0833333333333,331.6666666666667,2.1666666666666665,1.9333333333333333,,0.0,0
仁武區,2022-01-07,16.9,1.97,0.3,0.1,0.7,16.1,17.5,2.8,28.0,16.0,0.0,56.0,0.7,2.08,332.0,328.0,1.2,1.1,23.8,2.08,0.53,0.26,18.6,30.9,38.7,38.5,51.0,37.0,0.0,93.0,5.4,2.33,351.0,352.0,3.3,2.8,19.39166666666667,2.03,0.375,0.17,4.9125000000000005,21.879166666666666,26.829166666666666,15.737499999999999,37.416666666666664,25.0,0.0,77.125,1.6375,2.1999999999999997,339.5833333333333,339.5833333333333,2.3541666666666665,2.1374999999999997,,0.0,0
仁武區,2022-01-08,16.0,1.96,0.32,0.02,0.8,10.4,11.9,3.7,33.0,19.0,0.0,59.0,1.0,1.98,251.0,260.0,1.2,1.1,24.2,2.14,0.54,0.4,22.4,34.0,48.7,64.0,75.0,49.0,0.0,92.0,3.0,2.49,351.0,350.0,3.1,2.5,19.854166666666668,2.05875,0.41083333333333333,0.16041666666666668,4.641666666666667,20.758333333333333,25.433333333333334,25.3,49.333333333333336,31.041666666666668,0.0,74.91666666666667,2.1041666666666665,2.2191666666666667,316.5416666666667,317.0,1.8541666666666667,1.625,,0.0,0
仁武區,2022-01-09,16.4,1.95,0.29,0.04,0.7,10.1,11.5,4.6,35.0,21.0,0.0,56.0,1.6,1.99,278.0,290.0,1.2,1.1,24.6,2.22,0.54,0.31,10.3,26.6,33.4,62.5,91.0,70.0,0.0,89.0,4.5,2.46,346.0,347.0,3.8,3.4,19.770833333333332,2.0741666666666667,0.3958333333333333,0.12083333333333333,2.3833333333333333,16.849999999999998,19.291666666666668,29.237499999999997,49.666666666666664,32.166666666666664,0.0,75.04166666666667,2.379166666666667,2.195,328.1666666666667,328.6666666666667,2.091666666666667,1.8458333333333332,,0.0,0
仁武區,2022-01-10,15.3,1.95,0.29,0.09,0.3,13.8,14.3,3.0,34.0,20.0,0.0,55.0,0.5,2.04,287.0,283.0,1.1,1.2,24.1,2.16,0.66,0.34,23.3,27.8,47.7,56.2,62.0,46.0,0.0,95.0,2.7,2.5,348.0,348.0,4.1,3.7,18.97826086956522,2.04625,0.3983333333333334,0.16166666666666665,3.9130434782608696,18.608695652173914,22.573913043478264,25.985714285714288,47.04347826086956,30.434782608695652,0.0,80.34782608695652,1.2291666666666667,2.2079166666666667,333.1666666666667,332.0833333333333,2.3958333333333335,2.2583333333333333,,0.0,0
