日期,您的性別是？, 您對生活大致滿意嗎？,您是否常常感到厭煩？,您是否常常感到無論做什麼都沒有用？, 您是否大部分的時間都感到快樂？,您是否覺得您現在的情況是沒有希望的？,您的年齡是？,1. 您目前的主要居住型態是？
2025/6/19,男,是,否,否,是,否,60 - 64 歲,有與子女同住
2025/6/19,女,是,否,否,是,否,60 - 64 歲,僅與配偶同住
2025/6/19,女,是,否,否,是,否,60 - 64 歲,有與子女同住
2025/6/19,男,否,是,否,否,是,80 歲及以上,有與子女同住
2025/6/19,男,是,否,否,是,否,60 - 64 歲,僅與配偶同住
2025/6/19,女,否,是,是,否,是,75 - 79 歲,有與子女同住
2025/6/20,女,是,否,否,是,否,65 - 69 歲,僅與配偶同住
2025/6/20,男,否,是,是,否,是,80 歲及以上,獨居
2025/6/20,男,是,否,否,是,否,55 - 59 歲,僅與配偶同住
2025/6/20,男,否,是,是,否,是,75 - 79 歲,獨居
2025/6/20,男,否,是,是,否,是,75 - 79 歲,有與子女同住
2025/6/20,女,否,是,是,否,是,75 - 79 歲,獨居
2025/6/21,男,否,是,否,否,是,75 - 79 歲,有與子女同住
2025/6/21,女,否,是,是,否,是,80 歲及以上,有與子女同住
2025/6/22,男,是,否,否,是,否,65 - 69 歲,僅與配偶同住
2025/6/23,男,是,否,否,是,否,60 - 64 歲,僅與配偶同住
2025/6/23,女,是,否,否,是,否,60 - 64 歲,獨居
2025/6/23,男,是,否,否,是,否,65 - 69 歲,僅與配偶同住
2025/6/24,女,是,否,否,是,否,60 - 64 歲,獨居
2025/6/24,女,是,否,否,是,否,70 - 74 歲,僅與配偶同住
2025/6/25,男,是,否,否,是,否,70 - 74 歲,有與子女同住
2025/6/25,男,是,否,否,是,否,60 - 64 歲,有與子女同住
2025/6/25,男,是,否,否,是,否,70 - 74 歲,僅與配偶同住
2025/6/26,女,否,是,是,否,是,70 - 74 歲,獨居
2025/6/26,女,是,否,否,是,否,55 - 59 歲,僅與配偶同住
2025/6/26,男,否,是,是,否,是,70 - 74 歲,僅與配偶同住
2025/6/26,女,否,是,是,否,是,70 - 74 歲,有與子女同住
2025/6/26,男,否,是,是,否,是,70 - 74 歲,獨居
2025/6/26,男,是,否,否,是,否,60 - 64 歲,僅與配偶同住
2025/6/26,女,否,是,否,否,是,65 - 69 歲,有與子女同住
2025/6/27,男,是,否,否,是,否,60 - 64 歲,獨居
